t_workorder,t_product,registered_domain,t_login,Fecha inicio de vigencia,Fecha fin de vigencia,workorder_flag,entry_status,create_date,create_by,update_date,update_by
20230901-001,WH10GB12,creativeering.com,2309150001,2023/09/19 12:00:00,2024/09/19 00:00:00,1,0,2023/09/19 00:00:00,2309150001,2023/09/01 00:00:00,2309150001
20230901-002,WH10GB12,avilesworks.com,2309150001,2023/09/19 00:00:00,2024/09/19 00:00:00,1,0,2023/09/19 00:00:00,2309150001,2023/09/01 00:00:00,2309150001
20230901-003,WH10GB12,tecnotools.shop,2309150001,2023/09/19 00:00:00,2024/09/19 00:00:00,1,0,2023/09/19 00:00:00,2309150001,2023/09/01 00:00:00,2309150001
20230902-001,WH10GB12,enriquealvarezherrera.com,2309150001,2023/09/19 00:00:00,2024/09/19 00:00:00,1,0,2023/09/19 00:00:00,2309150001,2023/09/01 00:00:00,2309150001
20230902-002,WH10GB12,aplika-t.com,2309150001,2023/09/19 00:00:00,2024/09/19 00:00:00,1,0,2023/09/19 00:00:00,2309150001,2023/09/01 00:00:00,2309150001
